YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1994-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.108,1,0.320,1,0.17,0
1994-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.108,1,0.320,1,0.17,0
1994-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.108,1,0.320,1,0.17,0
1994-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,1,0.108,1,0.108,1,0.320,1,0.17,0
1994-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,1,0.108,1,0.108,1,0.320,1,0.17,0
1994-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,1,0.108,1,0.108,1,0.320,1,0.17,0
1994-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.3,1,0.108,1,0.108,1,0.320,1,0.17,0
1994-01-01,8:00,87.2,124.4,46,931,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,13,11,30,16,11,11,15,10,113,16,9,10,-9900,99,-9900,99,-9900,99,1.3,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,9:00,80.2,133.4,242,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,78,11,167,16,50,11,122,10,492,16,38,10,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,10:00,72.9,145.4,415,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,178,11,260,16,102,11,253,10,682,16,53,10,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,11:00,67.7,159.0,536,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,105,11,0,16,105,11,353,10,766,16,63,10,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,12:00,65.1,173.8,596,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,120,11,0,16,120,11,405,10,800,16,68,10,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,13:00,65.4,188.9,590,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,118,11,0,16,118,11,400,10,797,16,67,10,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,14:00,68.5,203.5,519,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,84,11,0,16,84,11,339,10,757,16,62,10,-9900,99,-9900,99,-9900,99,1.2,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,15:00,74.1,216.8,388,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,58,11,0,16,58,11,232,10,660,16,51,10,-9900,99,-9900,99,-9900,99,1.1,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,16:00,81.6,228.6,207,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,26,11,0,17,26,11,99,10,440,16,35,10,-9900,99,-9900,99,-9900,99,1.1,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,17:00,88.0,236.6,25,696,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,3,11,0,16,3,11,7,10,66,16,4,10,-9900,99,-9900,99,-9900,99,1.1,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,18:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.1,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.108,1,0.076,1,0.320,1,0.17,0
1994-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.108,1,0.076,1,0.277,1,0.17,0
1994-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,1,0.108,1,0.076,1,0.277,1,0.17,0
