TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,45.9,41.0,83,30.07,6.0,ENE,16.1,-,N/A,Rain,Light Rain Showers,60,1992-11-01 06:00:00
1:00 AM,45.9,41.9,86,30.07,4.0,NE,11.5,-,N/A,Rain,Light Rain,50,1992-11-01 07:00:00
2:00 AM,45.9,43.0,90,30.06,4.0,NE,11.5,-,N/A,Rain,Light Rain,50,1992-11-01 08:00:00
3:00 AM,45.9,41.9,86,30.05,4.0,NE,17.3,-,N/A,Rain,Light Rain Showers,50,1992-11-01 09:00:00
4:00 AM,45.9,41.9,86,30.02,4.0,NE,17.3,-,N/A,Rain,Light Rain Showers,50,1992-11-01 10:00:00
5:00 AM,45.0,41.0,86,30.02,3.0,ENE,20.7,-,0.10,Rain,Light Rain Showers,60,1992-11-01 11:00:00
6:00 AM,45.0,41.9,89,30.01,3.0,NE,20.7,28.8,N/A,Rain,Light Rain,50,1992-11-01 12:00:00
7:00 AM,45.0,41.9,89,29.99,3.0,ENE,17.3,27.6,N/A,Rain,Light Rain Showers,70,1992-11-01 13:00:00
8:00 AM,45.0,43.0,93,29.98,5.5,ENE,17.3,28.8,0.10,Rain,Light Rain Showers,70,1992-11-01 14:00:00
9:00 AM,45.0,43.0,93,29.97,5.5,ENE,17.3,28.8,0.10,Rain,Light Rain Showers,70,1992-11-01 15:00:00
10:00 AM,45.0,41.0,86,29.94,4.0,ENE,20.7,32.2,0.10,Rain,Light Rain Showers,60,1992-11-01 16:00:00
11:00 AM,45.0,41.9,89,29.92,5.0,ENE,17.3,33.4,N/A,Rain,Light Rain Showers,70,1992-11-01 17:00:00
12:00 PM,45.0,41.9,89,29.89,5.0,ENE,16.1,27.6,0.10,Rain,Light Rain Showers,60,1992-11-01 18:00:00
1:00 PM,45.0,41.9,89,29.85,7.0,ENE,17.3,27.6,N/A,Rain,Light Rain Showers,60,1992-11-01 19:00:00
2:00 PM,45.0,41.9,89,29.80,7.0,ENE,17.3,28.8,0.10,Rain,Light Rain Showers,60,1992-11-01 20:00:00
3:00 PM,45.0,41.9,89,29.78,3.0,ENE,17.3,28.8,0.20,Rain,Light Rain Showers,60,1992-11-01 21:00:00
4:00 PM,45.0,43.0,93,29.75,4.0,ENE,19.6,26.5,N/A,Rain,Light Rain Showers,70,1992-11-01 22:00:00
5:00 PM,45.0,43.0,93,29.73,3.0,ENE,17.3,-,0.20,Rain,Rain Showers,70,1992-11-01 23:00:00
6:00 PM,45.0,43.0,93,29.69,7.0,NE,20.7,-,N/A,Rain,Light Rain Showers,50,1992-11-02 00:00:00
7:00 PM,45.9,43.0,90,29.68,8.0,NE,13.8,-,0.10,Rain,Light Rain Showers,40,1992-11-02 01:00:00
8:00 PM,45.9,43.9,93,29.63,8.0,ENE,12.7,-,N/A,Rain,Light Rain,70,1992-11-02 02:00:00
9:00 PM,46.9,45.0,93,29.61,6.0,ENE,15.0,-,N/A,Rain,Rain Showers,70,1992-11-02 03:00:00
10:00 PM,46.9,45.0,93,29.56,5.0,East,11.5,-,0.10,Rain,Light Rain,90,1992-11-02 04:00:00
11:00 PM,47.8,43.0,83,29.54,5.0,East,12.7,-,N/A,Rain,Light Rain Showers,90,1992-11-02 05:00:00
