TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:53 AM,72.0,64.9,78,29.69,10.0,SW,12.7,-,N/A,Rain,Light Rain,220,2000-09-23 05:53:00
1:53 AM,72.0,66.0,81,29.73,8.0,WSW,16.1,23.0,N/A,Rain,Light Rain,250,2000-09-23 06:53:00
2:53 AM,71.1,68.0,90,29.70,7.0,SSW,5.8,-,N/A,Rain,Light Rain,210,2000-09-23 07:53:00
3:00 AM,71.6,68.0,88,29.71,8.0,SW,4.6,-,N/A,,Scattered Clouds,230,2000-09-23 08:00:00
3:53 AM,70.0,66.0,87,29.69,10.0,WSW,9.2,-,N/A,,Overcast,240,2000-09-23 08:53:00
4:53 AM,68.0,64.9,90,29.70,10.0,WSW,5.8,-,N/A,,Overcast,240,2000-09-23 09:53:00
5:53 AM,66.9,64.9,93,29.71,10.0,WSW,4.6,-,N/A,,Mostly Cloudy,250,2000-09-23 10:53:00
6:41 AM,66.2,64.4,94,29.75,10.0,South,5.8,-,N/A,,Overcast,190,2000-09-23 11:41:00
6:53 AM,66.9,64.9,93,29.75,10.0,SSW,5.8,-,N/A,,Overcast,210,2000-09-23 11:53:00
7:24 AM,66.2,64.4,94,29.77,10.0,WSW,4.6,-,N/A,,Overcast,250,2000-09-23 12:24:00
7:53 AM,68.0,64.9,90,29.77,8.0,NW,6.9,-,N/A,,Overcast,310,2000-09-23 12:53:00
8:53 AM,66.9,64.9,93,29.78,5.0,West,3.5,-,N/A,,Overcast,270,2000-09-23 13:53:00
9:27 AM,68.0,64.4,88,29.80,4.0,WNW,4.6,-,N/A,,Overcast,300,2000-09-23 14:27:00
9:53 AM,68.0,64.9,90,29.80,4.0,NNW,5.8,-,N/A,,Overcast,330,2000-09-23 14:53:00
10:09 AM,68.0,64.4,88,29.81,4.0,NNW,8.1,-,N/A,,Overcast,330,2000-09-23 15:09:00
10:53 AM,66.9,63.0,87,29.81,4.0,NNW,9.2,-,N/A,,Overcast,340,2000-09-23 15:53:00
11:12 AM,64.4,62.6,94,29.83,2.0,North,11.5,-,N/A,Rain,Light Rain,350,2000-09-23 16:12:00
11:53 AM,63.0,60.1,90,29.83,2.0,NNW,10.4,-,N/A,Rain,Rain,340,2000-09-23 16:53:00
12:24 PM,62.6,60.8,94,29.84,6.0,North,10.4,-,N/A,,Overcast,360,2000-09-23 17:24:00
12:53 PM,63.0,59.0,87,29.83,5.0,NNW,10.4,-,N/A,,Overcast,340,2000-09-23 17:53:00
1:24 PM,62.6,59.0,88,29.86,5.0,NNW,11.5,-,N/A,,Overcast,330,2000-09-23 18:24:00
1:44 PM,62.6,57.2,82,29.86,5.0,North,12.7,-,N/A,,Overcast,350,2000-09-23 18:44:00
1:53 PM,62.1,57.9,86,29.84,5.0,North,10.4,-,N/A,,Overcast,350,2000-09-23 18:53:00
2:11 PM,60.8,57.2,88,29.86,6.0,NNW,10.4,-,N/A,,Overcast,340,2000-09-23 19:11:00
2:53 PM,62.1,57.0,84,29.88,7.0,NW,9.2,-,N/A,,Overcast,320,2000-09-23 19:53:00
3:53 PM,62.1,57.0,84,29.87,8.0,NNW,11.5,-,N/A,,Overcast,340,2000-09-23 20:53:00
4:53 PM,61.0,57.0,87,29.89,10.0,North,12.7,-,N/A,,Overcast,10,2000-09-23 21:53:00
5:53 PM,60.1,55.9,86,29.93,10.0,North,11.5,-,N/A,,Overcast,360,2000-09-23 22:53:00
6:53 PM,59.0,55.0,87,29.94,10.0,NNE,11.5,-,N/A,,Overcast,20,2000-09-23 23:53:00
7:53 PM,59.0,54.0,83,29.94,9.0,North,11.5,-,N/A,,Overcast,10,2000-09-24 00:53:00
8:28 PM,59.0,53.6,82,29.95,10.0,North,12.7,-,N/A,,Overcast,10,2000-09-24 01:28:00
8:53 PM,60.1,54.0,80,29.94,10.0,North,11.5,-,N/A,,Overcast,10,2000-09-24 01:53:00
9:53 PM,61.0,52.0,72,29.95,10.0,NNE,11.5,-,N/A,,Overcast,20,2000-09-24 02:53:00
10:53 PM,60.1,52.0,75,29.96,10.0,NE,12.7,-,N/A,,Overcast,40,2000-09-24 03:53:00
11:53 PM,61.0,50.0,67,29.98,10.0,NNE,16.1,-,N/A,,Overcast,30,2000-09-24 04:53:00
