TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,52.0,46.0,80,30.01,10.0,South,6.9,-,N/A,,Clear,170,1992-09-20 05:00:00
1:00 AM,51.1,45.0,80,30.00,10.0,SSE,9.2,-,N/A,,Partly Cloudy,160,1992-09-20 06:00:00
2:00 AM,50.0,43.0,77,30.00,10.0,SSE,6.9,-,N/A,,Clear,160,1992-09-20 07:00:00
3:00 AM,50.0,43.0,77,30.00,10.0,South,5.8,-,N/A,,Clear,170,1992-09-20 08:00:00
4:00 AM,48.9,44.1,83,29.98,10.0,SSE,6.9,-,N/A,,Clear,160,1992-09-20 09:00:00
5:00 AM,48.9,44.1,83,29.97,10.0,SSE,6.9,-,N/A,,Clear,160,1992-09-20 10:00:00
6:00 AM,50.0,44.1,80,29.97,9.0,South,6.9,-,N/A,,Clear,170,1992-09-20 11:00:00
7:00 AM,50.0,45.0,83,29.97,10.0,SSE,9.2,-,N/A,,Mostly Cloudy,160,1992-09-20 12:00:00
8:00 AM,52.0,46.0,80,29.96,10.0,SSE,8.1,-,N/A,,Overcast,160,1992-09-20 13:00:00
9:00 AM,57.9,48.0,70,29.94,10.0,South,6.9,-,N/A,,Overcast,170,1992-09-20 14:00:00
10:00 AM,61.0,48.9,64,29.93,10.0,South,10.4,-,N/A,,Overcast,170,1992-09-20 15:00:00
11:00 AM,64.9,51.1,61,29.91,10.0,South,12.7,-,N/A,,Overcast,170,1992-09-20 16:00:00
12:00 PM,68.0,52.0,56,29.88,10.0,South,11.5,-,N/A,,Overcast,170,1992-09-20 17:00:00
1:00 PM,69.1,50.0,51,29.88,10.0,South,16.1,-,N/A,,Overcast,170,1992-09-20 18:00:00
2:00 PM,66.9,53.1,61,29.87,10.0,South,15.0,-,N/A,,Overcast,180,1992-09-20 19:00:00
3:00 PM,64.9,54.0,68,29.86,10.0,South,15.0,-,N/A,,Overcast,180,1992-09-20 20:00:00
4:00 PM,62.1,55.9,80,29.87,7.0,SSE,10.4,-,0.01,Rain,Light Rain,150,1992-09-20 21:00:00
5:00 PM,62.1,55.9,80,29.83,7.0,ESE,10.4,-,0.03,Rain,Light Rain,120,1992-09-20 22:00:00
5:38 PM,-9999,-9999,N/A,29.80,5.0,SE,15.0,-,N/A,Rain,Light Rain,130,1992-09-20 22:38:00
6:00 PM,61.0,57.0,87,29.81,4.0,SE,15.0,-,0.03,Fog-Rain,Light Rain,140,1992-09-20 23:00:00
6:16 PM,-9999,-9999,N/A,29.79,4.0,SSE,12.7,-,N/A,Rain,Light Rain,160,1992-09-20 23:16:00
6:39 PM,-9999,-9999,N/A,29.78,10.5,South,10.4,-,N/A,Rain,Light Rain,170,1992-09-20 23:39:00
7:00 PM,57.9,55.9,93,29.78,4.0,SSE,15.0,20.7,N/A,Fog-Rain,Light Rain,160,1992-09-21 00:00:00
8:00 PM,55.9,54.0,93,29.78,4.0,SE,12.7,-,0.02,Fog-Rain,Light Rain,140,1992-09-21 01:00:00
9:00 PM,55.9,54.0,93,29.77,4.0,SE,12.7,-,0.01,Fog,Light Drizzle,140,1992-09-21 02:00:00
9:12 PM,-9999,-9999,N/A,29.77,4.0,SSE,11.5,-,N/A,Rain,Light Drizzle,150,1992-09-21 02:12:00
10:00 PM,57.0,57.0,100,29.75,4.0,SSE,9.2,-,N/A,Fog,Light Drizzle,150,1992-09-21 03:00:00
11:00 PM,59.0,57.9,96,29.73,4.0,South,11.5,-,0.01,Fog,Light Drizzle,170,1992-09-21 04:00:00
