TimeCST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:00 AM,6.1,-8.0,53,30.02,10.0,West,12.7,-,N/A,,Mostly Cloudy,280,1993-12-26 06:00:00
12:43 AM,-9999,-9999,N/A,29.98,10.0,West,12.7,-,N/A,,Mostly Cloudy,280,1993-12-26 06:43:00
1:00 AM,6.1,-7.1,55,30.02,10.0,West,12.7,-,N/A,,Mostly Cloudy,280,1993-12-26 07:00:00
2:00 AM,6.1,-7.1,55,30.02,10.0,WNW,11.5,-,N/A,,Overcast,290,1993-12-26 08:00:00
2:11 AM,-9999,-9999,N/A,29.98,4.0,West,12.7,-,N/A,,Unknown,260,1993-12-26 08:11:00
2:16 AM,-9999,-9999,N/A,29.98,3.0,WNW,11.5,-,N/A,,Unknown,290,1993-12-26 08:16:00
2:33 AM,-9999,-9999,N/A,29.98,2.0,WNW,9.2,-,N/A,,Unknown,290,1993-12-26 08:33:00
3:00 AM,6.1,-0.9,73,30.02,2.0,WNW,8.1,-,N/A,Snow,Light Snow,300,1993-12-26 09:00:00
4:00 AM,6.1,-0.0,76,30.01,4.0,WNW,6.9,-,N/A,Snow,Light Snow,300,1993-12-26 10:00:00
5:00 AM,6.1,1.0,80,30.01,4.0,WNW,6.9,-,0.01,Snow,Light Snow,290,1993-12-26 11:00:00
6:00 AM,6.1,-0.0,76,30.03,4.0,WNW,4.6,-,0.01,Snow,Light Snow,300,1993-12-26 12:00:00
7:00 AM,7.0,-0.9,70,30.05,6.0,NW,5.8,-,N/A,Snow,Light Snow,310,1993-12-26 13:00:00
8:00 AM,7.0,-0.9,70,30.07,7.0,NW,4.6,-,N/A,,Overcast,320,1993-12-26 14:00:00
9:00 AM,8.1,-0.9,67,30.09,8.0,NW,6.9,-,N/A,,Overcast,310,1993-12-26 15:00:00
10:00 AM,8.1,-0.9,67,30.11,10.0,NNW,8.1,-,N/A,,Mostly Cloudy,340,1993-12-26 16:00:00
11:00 AM,10.9,-2.0,56,30.12,10.0,North,6.9,-,N/A,,Scattered Clouds,360,1993-12-26 17:00:00
12:00 PM,12.0,-2.0,53,30.11,10.0,North,8.1,-,N/A,,Mostly Cloudy,350,1993-12-26 18:00:00
1:00 PM,10.9,-4.0,51,30.12,10.0,North,8.1,-,N/A,,Overcast,360,1993-12-26 19:00:00
2:00 PM,12.0,-5.1,46,30.13,10.0,North,10.4,-,N/A,,Mostly Cloudy,360,1993-12-26 20:00:00
3:00 PM,10.9,-8.0,42,30.15,10.0,North,8.1,-,N/A,,Mostly Cloudy,360,1993-12-26 21:00:00
4:00 PM,10.0,-7.1,46,30.18,10.0,North,9.2,-,N/A,,Mostly Cloudy,360,1993-12-26 22:00:00
5:00 PM,9.0,-8.0,46,30.20,10.0,NNE,9.2,-,N/A,,Overcast,20,1993-12-26 23:00:00
6:00 PM,10.0,-8.0,44,30.21,10.0,North,8.1,-,N/A,,Overcast,10,1993-12-27 00:00:00
7:00 PM,10.0,-7.1,46,30.23,10.0,NNW,6.9,-,N/A,,Overcast,330,1993-12-27 01:00:00
8:00 PM,10.9,-5.1,49,30.25,10.0,NW,6.9,-,N/A,,Overcast,320,1993-12-27 02:00:00
9:00 PM,10.9,-5.1,49,30.27,10.0,NW,6.9,-,N/A,,Overcast,310,1993-12-27 03:00:00
10:00 PM,10.9,-4.0,51,30.28,10.0,NW,4.6,-,N/A,,Overcast,320,1993-12-27 04:00:00
11:00 PM,12.0,-2.0,53,30.28,10.0,NW,4.6,-,N/A,,Overcast,310,1993-12-27 05:00:00
