725340,"CHICAGO MIDWAY AP",IL,-6.0,41.783,-87.750,186
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2004,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,-1.0,A,7,-8.0,A,7,55,A,7,1003,A,7,20,A,7,2.6,A,7,16100,A,7,7500,A,7,0.7,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,-1.0,A,7,-8.0,A,7,55,A,7,1003,A,7,0,A,7,0.0,A,7,16100,A,7,7500,A,7,0.8,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-1.0,A,7,-7.0,A,7,60,A,7,1003,A,7,90,A,7,2.1,A,7,16100,A,7,7500,A,7,0.8,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-1.0,A,7,-6.0,A,7,66,A,7,1003,A,7,110,A,7,1.5,A,7,16100,A,7,7500,A,7,0.8,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1.0,A,7,-5.0,A,7,71,A,7,1003,A,7,170,A,7,2.1,A,7,16100,A,7,7500,A,7,0.8,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-1.0,A,7,-5.0,A,7,71,A,7,1002,A,7,130,A,7,4.1,A,7,16100,A,7,7500,A,7,0.8,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,5,E,9,0.0,A,7,-5.0,A,7,66,A,7,1002,A,7,120,A,7,2.6,A,7,16100,A,7,7500,A,7,0.8,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,08:00,46,931,3,2,9,6,2,21,3,2,9,408,2,9,247,2,21,394,2,9,62,2,25,10,E,9,4,E,9,0.0,A,7,-6.0,A,7,60,A,7,1001,A,7,130,A,7,5.1,A,7,16100,A,7,7500,A,7,0.9,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,09:00,242,1415,78,2,9,21,2,21,75,2,9,8588,2,9,1646,2,21,8305,2,9,1757,2,25,9,E,9,7,E,9,1.0,A,7,-6.0,A,7,56,A,7,1001,A,7,120,A,7,4.1,A,7,16100,A,7,6000,A,7,0.9,E,8,0.094,F,8,0.170,F,8,0,1,A,7
01/01/2004,10:00,415,1415,131,2,9,19,2,21,126,2,9,14577,2,9,1219,2,21,14218,2,9,4279,2,25,10,E,9,9,E,9,3.0,A,7,-4.0,A,7,58,A,7,1001,A,7,120,A,7,3.6,A,7,16100,A,7,2100,A,7,1.1,E,8,0.094,F,8,0.170,F,8,0,1,A,7
