STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HLY-CLDH-NORMAL,Completeness Flag,HLY-HTDH-NORMAL,Completeness Flag,HLY-PRES-10PCTL,Completeness Flag,HLY-PRES-90PCTL,Completeness Flag,HLY-PRES-NORMAL,Completeness Flag,HLY-CLOD-PCTBKN,Completeness Flag,HLY-CLOD-PCTCLR,Completeness Flag,HLY-CLOD-PCTFEW,Completeness Flag,HLY-CLOD-PCTOVC,Completeness Flag,HLY-CLOD-PCTSCT,Completeness Flag,HLY-DEWP-10PCTL,Completeness Flag,HLY-DEWP-90PCTL,Completeness Flag,HLY-DEWP-NORMAL,Completeness Flag,HLY-HIDX-NORMAL,Completeness Flag,HLY-TEMP-10PCTL,Completeness Flag,HLY-TEMP-90PCTL,Completeness Flag,HLY-TEMP-NORMAL,Completeness Flag,HLY-WCHL-NORMAL,Completeness Flag,HLY-WIND-AVGSPD,Completeness Flag,HLY-WIND-VCTDIR,Completeness Flag,HLY-WIND-VCTSPD,Completeness Flag,HLY-WIND-PCTCLM,Completeness Flag,HLY-WIND-1STDIR,Completeness Flag,HLY-WIND-1STPCT,Completeness Flag,HLY-WIND-2NDDIR,Completeness Flag,HLY-WIND-2NDPCT,Completeness Flag
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 00:00,0,C,405,C,10072,C,10299,C,10193,C,107,C,197,C,82,C,537,C,77,C,-9,C,340,C,188,C,245,C,81,C,390,C,245,C,151,C,103,C,262,C,43,C,32,C,7,C,223,C,6,C,209,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 01:00,0,C,408,C,10076,C,10301,C,10191,C,125,C,209,C,77,C,540,C,50,C,-20,C,340,C,186,C,242,C,70,C,379,C,242,C,148,C,102,C,262,C,43,C,47,C,7,C,218,C,6,C,215,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 02:00,0,C,411,C,10075,C,10303,C,10193,C,142,C,223,C,43,C,534,C,59,C,-20,C,340,C,186,C,239,C,70,C,379,C,239,C,146,C,100,C,261,C,40,C,45,C,6,C,234,C,7,C,201,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 03:00,0,C,413,C,10074,C,10305,C,10194,C,111,C,228,C,65,C,551,C,45,C,-20,C,340,C,185,C,237,C,50,C,374,C,237,C,143,C,100,C,264,C,41,C,32,C,7,C,222,C,6,C,206,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 04:00,0,C,415,C,10075,C,10306,C,10193,C,96,C,211,C,66,C,556,C,71,C,-20,C,340,C,184,C,235,C,50,C,374,C,235,C,141,C,99,C,260,C,40,C,41,C,7,C,225,C,6,C,207,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 05:00,0,C,418,C,10072,C,10307,C,10192,C,82,C,217,C,73,C,573,C,55,C,-20,C,340,C,182,C,232,C,50,C,379,C,232,C,137,C,99,C,262,C,41,C,29,C,7,C,220,C,6,C,212,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 06:00,0,C,419,C,10077,C,10309,C,10194,C,112,C,192,C,82,C,559,C,55,C,-29,C,340,C,181,C,231,C,50,C,379,C,231,C,137,C,98,C,263,C,38,C,47,C,7,C,215,C,6,C,198,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 07:00,0,C,420,C,10081,C,10314,C,10196,C,127,C,161,C,106,C,550,C,57,C,-29,C,340,C,180,C,230,C,50,C,374,C,230,C,135,C,99,C,262,C,37,C,34,C,7,C,200,C,6,C,200,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 08:00,0,C,417,C,10082,C,10316,C,10199,C,147,C,124,C,99,C,560,C,70,C,-29,C,340,C,182,C,233,C,50,C,379,C,233,C,136,C,100,C,258,C,38,C,29,C,7,C,208,C,6,C,194,C
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,200.6,41.995,-87.93361,20100101 09:00,0,C,405,C,10087,C,10319,C,10203,C,175,C,127,C,98,C,551,C,50,C,-20,C,340,C,187,C,245,C,70,C,379,C,245,C,146,C,109,C,260,C,42,C,25,C,6,C,195,C,7,C,191,C
